01 January, 1960	01 Jan 1960
02 January, 1960	02 Jan 1960
03 January, 1960	03 Jan 1960
04 January, 1960	04 Jan 1960
05 January, 1960	05 Jan 1960
06 January, 1960	06 Jan 1960
07 January, 1960	07 Jan 1960
08 January, 1960	08 Jan 1960
09 January, 1960	09 Jan 1960
10 January, 1960	10 Jan 1960
11 January, 1960	11 Jan 1960
12 January, 1960	12 Jan 1960
13 January, 1960	13 Jan 1960
14 January, 1960	14 Jan 1960
15 January, 1960	15 Jan 1960
16 January, 1960	16 Jan 1960
17 January, 1960	17 Jan 1960
18 January, 1960	18 Jan 1960
19 January, 1960	19 Jan 1960
20 January, 1960	20 Jan 1960
21 January, 1960	21 Jan 1960
22 January, 1960	22 Jan 1960
23 January, 1960	23 Jan 1960
24 January, 1960	24 Jan 1960
25 January, 1960	25 Jan 1960
26 January, 1960	26 Jan 1960
27 January, 1960	27 Jan 1960
28 January, 1960	28 Jan 1960
29 January, 1960	29 Jan 1960
30 January, 1960	30 Jan 1960
31 January, 1960	31 Jan 1960
01 February, 1960	01 Feb 1960
02 February, 1960	02 Feb 1960
03 February, 1960	03 Feb 1960
04 February, 1960	04 Feb 1960
05 February, 1960	05 Feb 1960
06 February, 1960	06 Feb 1960
07 February, 1960	07 Feb 1960
08 February, 1960	08 Feb 1960
09 February, 1960	09 Feb 1960
10 February, 1960	10 Feb 1960
11 February, 1960	11 Feb 1960
12 February, 1960	12 Feb 1960
13 February, 1960	13 Feb 1960
14 February, 1960	14 Feb 1960
15 February, 1960	15 Feb 1960
16 February, 1960	16 Feb 1960
17 February, 1960	17 Feb 1960
18 February, 1960	18 Feb 1960
19 February, 1960	19 Feb 1960
20 February, 1960	20 Feb 1960
21 February, 1960	21 Feb 1960
22 February, 1960	22 Feb 1960
23 February, 1960	23 Feb 1960
24 February, 1960	24 Feb 1960
25 February, 1960	25 Feb 1960
26 February, 1960	26 Feb 1960
27 February, 1960	27 Feb 1960
28 February, 1960	28 Feb 1960
29 February, 1960	29 Feb 1960
01 March, 1960	01 Mar 1960
02 March, 1960	02 Mar 1960
03 March, 1960	03 Mar 1960
04 March, 1960	04 Mar 1960
05 March, 1960	05 Mar 1960
06 March, 1960	06 Mar 1960
07 March, 1960	07 Mar 1960
08 March, 1960	08 Mar 1960
09 March, 1960	09 Mar 1960
10 March, 1960	10 Mar 1960
11 March, 1960	11 Mar 1960
12 March, 1960	12 Mar 1960
13 March, 1960	13 Mar 1960
14 March, 1960	14 Mar 1960
15 March, 1960	15 Mar 1960
16 March, 1960	16 Mar 1960
17 March, 1960	17 Mar 1960
18 March, 1960	18 Mar 1960
19 March, 1960	19 Mar 1960
20 March, 1960	20 Mar 1960
21 March, 1960	21 Mar 1960
22 March, 1960	22 Mar 1960
23 March, 1960	23 Mar 1960
24 March, 1960	24 Mar 1960
25 March, 1960	25 Mar 1960
26 March, 1960	26 Mar 1960
27 March, 1960	27 Mar 1960
28 March, 1960	28 Mar 1960
29 March, 1960	29 Mar 1960
30 March, 1960	30 Mar 1960
31 March, 1960	31 Mar 1960
01 April, 1960	01 Apr 1960
02 April, 1960	02 Apr 1960
03 April, 1960	03 Apr 1960
04 April, 1960	04 Apr 1960
05 April, 1960	05 Apr 1960
06 April, 1960	06 Apr 1960
07 April, 1960	07 Apr 1960
08 April, 1960	08 Apr 1960
09 April, 1960	09 Apr 1960
10 April, 1960	10 Apr 1960
11 April, 1960	11 Apr 1960
12 April, 1960	12 Apr 1960
13 April, 1960	13 Apr 1960
14 April, 1960	14 Apr 1960
15 April, 1960	15 Apr 1960
16 April, 1960	16 Apr 1960
17 April, 1960	17 Apr 1960
18 April, 1960	18 Apr 1960
19 April, 1960	19 Apr 1960
20 April, 1960	20 Apr 1960
21 April, 1960	21 Apr 1960
22 April, 1960	22 Apr 1960
23 April, 1960	23 Apr 1960
24 April, 1960	24 Apr 1960
25 April, 1960	25 Apr 1960
26 April, 1960	26 Apr 1960
27 April, 1960	27 Apr 1960
28 April, 1960	28 Apr 1960
29 April, 1960	29 Apr 1960
30 April, 1960	30 Apr 1960
01 May, 1960	01 May 1960
02 May, 1960	02 May 1960
03 May, 1960	03 May 1960
04 May, 1960	04 May 1960
05 May, 1960	05 May 1960
06 May, 1960	06 May 1960
07 May, 1960	07 May 1960
08 May, 1960	08 May 1960
09 May, 1960	09 May 1960
10 May, 1960	10 May 1960
11 May, 1960	11 May 1960
12 May, 1960	12 May 1960
13 May, 1960	13 May 1960
14 May, 1960	14 May 1960
15 May, 1960	15 May 1960
16 May, 1960	16 May 1960
17 May, 1960	17 May 1960
18 May, 1960	18 May 1960
19 May, 1960	19 May 1960
20 May, 1960	20 May 1960
21 May, 1960	21 May 1960
22 May, 1960	22 May 1960
23 May, 1960	23 May 1960
24 May, 1960	24 May 1960
